"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"40875","12.990736","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=998, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"41150","13.093423","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=999, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"41497","13.195602","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=1000, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"41801","13.298012","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=1001, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"42134","13.400336","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-93 dBm","45 dB","Beacon frame, SN=1002, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"42477","13.503057","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-93 dBm","45 dB","Beacon frame, SN=1003, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"42812","13.605235","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=1004, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"43151","13.707846","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=1005, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"43499","13.810032","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-93 dBm","45 dB","Beacon frame, SN=1006, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"43882","13.912334","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=1007, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"44212","14.015001","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-93 dBm","45 dB","Beacon frame, SN=1008, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"44564","14.117122","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-93 dBm","45 dB","Beacon frame, SN=1009, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"44920","14.219831","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-93 dBm","45 dB","Beacon frame, SN=1010, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"45295","14.321963","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=1011, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"45621","14.424350","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=1012, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"45998","14.526978","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=1013, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"46363","14.628770","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=1014, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"46663","14.731509","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=1015, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"47005","14.833927","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=1016, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
