"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"64375","35.249984","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=603, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"64576","35.352486","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=604, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"64751","35.455649","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=605, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"65078","35.557219","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=606, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"65310","35.660135","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=607, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"65534","35.761979","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=608, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"65904","35.864452","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=609, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"66122","35.966906","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-93 dBm","33 dB","Beacon frame, SN=610, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"66397","36.069313","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=611, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"66723","36.171835","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=612, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"67083","36.273990","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=613, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"67684","36.376982","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-61 dBm","-93 dBm","32 dB","Beacon frame, SN=614, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"68580","36.478968","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-93 dBm","33 dB","Beacon frame, SN=615, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"68876","36.581132","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=616, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"69067","36.683712","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=617, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"69238","36.786021","8e:df:de:55:89:44","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-93 dBm","33 dB","Beacon frame, SN=618, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
