"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"24227","16.501811","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3304, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"24404","16.605270","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3305, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"24570","16.706556","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3306, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"24753","16.809014","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3307, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"24963","16.911371","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3308, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"25124","17.014224","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3309, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"25303","17.116461","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3310, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"25435","17.218400","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3311, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"25588","17.320699","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3312, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"25755","17.423603","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3313, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"25923","17.525907","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3314, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"26085","17.629283","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3315, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"26265","17.730817","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3316, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"26423","17.833306","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3317, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"26567","17.935839","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3318, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"26698","18.037797","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3319, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
