"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4562","63.040877","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-37 dBm","-87 dBm","50 dB","Beacon frame, SN=2622, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4564","63.348016","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-34 dBm","-87 dBm","53 dB","Beacon frame, SN=2623, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4580","64.884063","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-33 dBm","-85 dBm","52 dB","Beacon frame, SN=2630, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4587","65.191263","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-28 dBm","-85 dBm","57 dB","Beacon frame, SN=2631, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4624","66.727194","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-27 dBm","-85 dBm","58 dB","Beacon frame, SN=2636, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4626","67.034481","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-32 dBm","-85 dBm","53 dB","Beacon frame, SN=2637, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4627","67.341611","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-36 dBm","-85 dBm","49 dB","Beacon frame, SN=2638, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4645","67.648912","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-43 dBm","-85 dBm","42 dB","Beacon frame, SN=2639, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4657","69.184911","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-50 dBm","-87 dBm","37 dB","Beacon frame, SN=2644, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4659","69.492270","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-49 dBm","-87 dBm","38 dB","Beacon frame, SN=2645, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4662","69.799208","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-47 dBm","-87 dBm","40 dB","Beacon frame, SN=2646, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4663","70.106529","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-44 dBm","-88 dBm","44 dB","Beacon frame, SN=2647, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4679","71.642545","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-42 dBm","-87 dBm","45 dB","Beacon frame, SN=2652, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4680","71.949753","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-46 dBm","-87 dBm","41 dB","Beacon frame, SN=2653, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4681","72.256844","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-52 dBm","-88 dBm","36 dB","Beacon frame, SN=2654, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4684","72.564153","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-53 dBm","-88 dBm","35 dB","Beacon frame, SN=2655, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4760","74.100158","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-61 dBm","-87 dBm","26 dB","Beacon frame, SN=2660, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4761","74.407367","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-62 dBm","-87 dBm","25 dB","Beacon frame, SN=2661, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4764","74.714462","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-55 dBm","-87 dBm","32 dB","Beacon frame, SN=2662, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4789","75.021807","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-52 dBm","-87 dBm","35 dB","Beacon frame, SN=2663, FN=0, Flags=........C, BI=300, SSID=""COMP4336""[Malformed Packet]"
"4791","75.636183","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-54 dBm","-87 dBm","33 dB","Beacon frame, SN=2665, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4995","77.479424","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-56 dBm","-85 dBm","29 dB","Beacon frame, SN=2671, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4997","77.786489","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-56 dBm","-85 dBm","29 dB","Beacon frame, SN=2672, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5107","78.093784","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-57 dBm","-85 dBm","28 dB","Beacon frame, SN=2673, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5123","78.401015","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-56 dBm","-85 dBm","29 dB","Beacon frame, SN=2674, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5261","79.937018","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-59 dBm","-86 dBm","27 dB","Beacon frame, SN=2681, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5263","80.244139","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-57 dBm","-86 dBm","29 dB","Beacon frame, SN=2682, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5278","80.551394","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-52 dBm","-86 dBm","34 dB","Beacon frame, SN=2683, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5280","80.858532","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-56 dBm","-86 dBm","30 dB","Beacon frame, SN=2684, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5389","82.394650","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-50 dBm","-87 dBm","37 dB","Beacon frame, SN=2691, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5398","82.701866","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-47 dBm","-87 dBm","40 dB","Beacon frame, SN=2692, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5399","83.009010","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-49 dBm","-87 dBm","38 dB","Beacon frame, SN=2693, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5490","83.316151","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-46 dBm","-87 dBm","41 dB","Beacon frame, SN=2694, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5537","84.852239","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-36 dBm","-87 dBm","51 dB","Beacon frame, SN=2699, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5560","85.159470","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-37 dBm","-87 dBm","50 dB","Beacon frame, SN=2700, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5566","85.773783","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-39 dBm","-87 dBm","48 dB","Beacon frame, SN=2702, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5606","87.309792","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-46 dBm","-86 dBm","40 dB","Beacon frame, SN=2707, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5634","87.924236","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-46 dBm","-86 dBm","40 dB","Beacon frame, SN=2709, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5652","88.231510","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-47 dBm","-86 dBm","39 dB","Beacon frame, SN=2710, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5682","90.381835","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-27 dBm","-86 dBm","59 dB","Beacon frame, SN=2717, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5696","90.689108","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-26 dBm","-86 dBm","60 dB","Beacon frame, SN=2718, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5699","90.996329","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-25 dBm","-86 dBm","61 dB","Beacon frame, SN=2719, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5709","92.532381","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-27 dBm","-87 dBm","60 dB","Beacon frame, SN=2724, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5713","92.839462","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-25 dBm","-87 dBm","62 dB","Beacon frame, SN=2725, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5714","93.146822","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-26 dBm","-86 dBm","60 dB","Beacon frame, SN=2726, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5716","93.453885","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-24 dBm","-86 dBm","62 dB","Beacon frame, SN=2727, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5750","93.761146","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-30 dBm","-86 dBm","56 dB","Beacon frame, SN=2730, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"5764","94.375553","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-27 dBm","-86 dBm","59 dB","Beacon frame, SN=2732, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
